"Mistenkt";"Bekreftet";"Sum"
"2018.40";1;0;1
"2018.41";0;1;1
"2018.44";0;2;2
"2018.45";0;1;1
"2018.46";0;1;1
"2018.47";0;2;2
"2018.48";1;1;2
"2018.49";1;3;4
"2018.50";1;4;5
"2018.51";0;4;4
"2018.52";2;10;12
"2019.01";0;16;16
"2019.02";1;12;13
"2019.03";1;12;13
"2019.04";0;11;11
"2019.05";1;20;21
"2019.06";0;16;16
"2019.07";3;22;25
"2019.08";1;18;19
"2019.09";1;14;15
"2019.10";1;6;7
"2019.11";3;7;10
"2019.12";1;7;8
"2019.13";1;3;4
"2019.14";1;6;7
"2019.15";0;5;5
"2019.16";0;2;2
"2019.17";2;2;4
"2019.18";2;0;2
"2019.19";0;1;1
"2019.20";0;2;2
"2019.21";0;2;2
"2019.23";0;1;1
"2019.40";1;0;1
"2019.41";0;1;1
"2019.44";0;1;1
"2019.45";0;1;1
"2019.46";2;1;3
"2019.47";0;1;1
"2019.49";0;2;2
"2019.50";1;2;3
"2019.51";2;4;6
"2019.52";1;7;8
"2020.01";1;4;5
"2020.02";1;8;9
"2020.03";1;4;5
"2020.04";2;5;7
"2020.05";1;6;7
"2020.06";2;4;6
"2020.07";3;7;10
"2020.08";8;10;18
"2020.09";2;9;11
"2020.10";0;5;5
"2020.11";1;5;6
"2020.12";1;1;2
"2020.13";1;0;1
"2020.14";1;0;1
"2020.15";3;0;3
"Sum";60;302;362
